Encryption Time (μs),Decryption Time (μs),Message Size (B),Ciphertext Size (B),Overhead (B)
2203,1,10,26,16
1,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
0,0,10,26,16
