Encryption Time (μs),Decryption Time (μs),Message Size (B),Ciphertext Size (B),Overhead (B)
67,45,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
53,56,10,26,16
42,41,10,26,16
41,41,10,26,16
41,41,10,26,16
48,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
42,44,10,26,16
45,41,10,26,16
56,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
55,42,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
58,42,10,26,16
41,41,10,26,16
41,41,10,26,16
43,43,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,220,10,26,16
42,41,10,26,16
41,41,10,26,16
55,44,10,26,16
42,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,42,10,26,16
41,41,10,26,16
41,55,10,26,16
42,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,93,10,26,16
42,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,58,10,26,16
42,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,55,10,26,16
44,42,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
237,42,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,54,10,26,16
42,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
42,42,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
48,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,58,10,26,16
42,56,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
42,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
54,42,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,51,10,26,16
42,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,55,10,26,16
45,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
54,45,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
41,41,10,26,16
