Encryption Time (μs),Decryption Time (μs)
166,43
42,42
42,42
52,42
42,42
45,42
42,57
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
45,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
55,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
43,43
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,64
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
54,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
62,42
42,42
42,42
42,42
42,43
43,42
42,55
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
55,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
57,92
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
56,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
45,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,43
43,42
42,42
55,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,51
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,54
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
54,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,45
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,54
47,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
48,60
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,114
42,42
42,42
42,42
51,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
54,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,54
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
55,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
56,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,54
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,47
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
45,51
42,42
42,42
42,42
55,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
54,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,51
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,54
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
54,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
54,42
42,42
42,42
42,42
42,42
51,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
47,42
42,42
42,42
42,42
42,54
42,42
42,42
42,42
42,46
74,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,55
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
55,42
42,42
42,42
54,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,55
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
55,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
51,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
54,42
42,42
42,42
42,42
48,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,45
59,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
55,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
51,42
42,54
42,42
42,42
42,75
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
55,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
45,42
42,42
42,55
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,51
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,45
42,42
42,42
54,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
45,42
42,42
42,42
42,42
42,42
47,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,56
81,42
42,42
42,42
42,42
42,42
42,42
42,42
44,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
54,42
42,42
42,42
42,54
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,54
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
54,42
42,42
42,42
51,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,54
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,45
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,45
42,42
42,42
42,58
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,45
51,51
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,56
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,57
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,51
42,42
42,42
42,42
42,42
42,42
55,42
42,42
42,42
42,42
42,42
42,42
42,42
42,45
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,45
42,42
42,42
42,55
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
45,42
42,42
42,42
55,42
42,56
42,42
42,42
42,42
42,42
42,42
42,42
42,50
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,45
42,55
45,42
42,42
42,42
55,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
55,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
51,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,55
42,42
42,42
42,42
42,42
42,42
42,42
59,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
55,42
42,42
42,42
42,42
